Artist,Country,State/Region/Province,City,Related Labels,Related Bands,Released split with,Year (of the first release),Website,Streaming Site,Discogs,Rate Your Music,Style,Melodiousness,My rating,Tags,Added at,Page ID
Blueline Medic,Australia,Victoria,Melbourne,Hobbledehoy (https://www.notion.so/Hobbledehoy-f265015589604839a96a7996b601f8b5?pvs=21),,,2000,,https://bluelinemedic.bandcamp.com/,https://www.discogs.com/artist/267587-Blueline-Medic,,"Alternative Rock, Midwest Emo",7,7,,"July 27, 2022 11:18 PM",1c8f1079e63f4d89b312913ad9f90316
Bloomsday,US,Washington D.C.,Seattle,,,,1996,,,https://www.discogs.com/artist/3135513-Bloomsday-2,,"Indie Rock, Midwest Emo",7,6,,"July 27, 2022 11:10 PM",0cd9077057be454ba83c9ed9b0968944
"Big, Big Furnace",US,Wisconsin,Madison,,,,2001,,,https://www.discogs.com/artist/7108739-Big-Big-Furnace,https://rateyourmusic.com/artist/big__big_furnace,"Indie Rock, Midwest Emo",7,7,,"July 27, 2022 11:05 PM",308ee005ad894022a08ced4322681f44
Best Days Behind (aka The Attraction),US,Illinois,Chicago,,,,2002,https://web.archive.org/web/20040604171737/http://bestdaysbehind.com/main.html,,https://www.discogs.com/artist/9909442-Best-Days-Behind,https://rateyourmusic.com/artist/best_days_behind,"Indie Rock, Midwest Emo, Pop Punk",7,6,With Keyboards,"July 27, 2022 10:26 PM",ba5507ad92dc49bb94043ee054ad18da
Berkeley,Ireland,Donegal,Donegal,,,,2002,https://web.archive.org/web/20041204030947/http://www.berkeley.tv/html/index2.htm,,https://www.discogs.com/artist/996931-Berkeley,https://rateyourmusic.com/artist/berkeley,"Midwest Emo, Post-Hardcore",7,8,,"July 27, 2022 10:16 PM",4745dcf5ab9143a1ae3d2c02dc694882
Bees are Black,US,Illinois,Chicago,,,,,,,https://www.discogs.com/artist/4343229-Bees-Are-Black,,"Indie Rock, Midwest Emo",5,6,,"July 27, 2022 10:12 PM",d63cf0f7104f4eab839b9ba7622552b9
Beat Easton,,,,,,,,,,,,"Indie Folk, Indie Rock, Midwest Emo",7,7,,"July 27, 2022 10:10 PM",5fefa372dc5e48efb419d61c416f3c7d
Barbed Wire,,,,,,,,,,,,"Alternative Rock, Midwest Emo, Post-Hardcore",6,6,,"July 27, 2022 10:09 PM",f89456b9e5a049a28370a3dc08495152
Baby Harp Seal,,,,Genet Records (https://www.notion.so/Genet-Records-0fa320aef53542e9a8dfa27572a7a1cb?pvs=21),,,,,,,,"Emo-Core, Midwest Emo, Post-Hardcore",5,7,,"July 27, 2022 10:07 PM",1e6747fbf2de4e03bfa99ed9ee72f61f
Aviso'Hara,US,New Jersey,,,,,,,https://headphonemusic.bandcamp.com/music,https://www.discogs.com/artist/2552276-AvisoHara,,"Alternative Rock, Midwest Emo, Post-Hardcore",7,7,Twin-vocal,"July 26, 2022 10:41 PM",ee06b20b000e409b9aae31a74baea12a
Avarium,US,,,,,,2016,,https://indievisionmusic.bandcamp.com/track/avarium-if-you-want-to,https://www.discogs.com/artist/8572568-Avarium,,"Indie Rock, Pop Punk",8,7,"CCM, Female-fronted","July 26, 2022 10:36 PM",ec7a95514ba1436eadfc51ec086d8b0a
Audreys Dance,Germany,Bayern,Nürnberg,Millipede Records (https://www.notion.so/Millipede-Records-9971fccdb37e4ae8ae2e42b9f005c5ac?pvs=21),,,1999,,,https://www.discogs.com/artist/2143463-Audreys-Dance,https://rateyourmusic.com/artist/audreys-dance,"Midwest Emo, Post-Hardcore",7,8,VA: Love Still Has Its Meaning,"July 26, 2022 10:25 PM",498c48d51543461fb05e2c4a3d2175b3
The Player Piano,US,Utah,Salt Lake City,Sunset Alliance Records (https://www.notion.so/Sunset-Alliance-Records-d6b727b0b9b044e495fc9da141a74502?pvs=21),,,2004,https://www.sunsetalliance.com/player-piano-satellite,https://shop.sunsetalliance.com/album/satellite,,,"Indie Rock, Instrumental, Midwest Emo",7,7,,"July 26, 2022 10:18 PM",8dec8c45ace94409a3bf232344b64978
Curbside Journal,US,California,Oakland,"Sun Sea Sky Productions (https://www.notion.so/Sun-Sea-Sky-Productions-504910c5bc8d43e8a69ef32be56125cc?pvs=21), No Karma Recordings (https://www.notion.so/No-Karma-Recordings-e386ca4f4ba54ba1ad0ed76c2c2b9b63?pvs=21)",,,1997,,https://sunseasky.bandcamp.com/album/pacific-standard-time,https://www.discogs.com/artist/1489664-Curbside-Journal,,"Indie Rock, Midwest Emo",8,7,Twin-vocal,"July 26, 2022 10:08 PM",05f956ddf3c7463d9391ed85fd81b604
Athalia,US,California,Los Angeles,Sun Sea Sky Productions (https://www.notion.so/Sun-Sea-Sky-Productions-504910c5bc8d43e8a69ef32be56125cc?pvs=21),Strictly Ballroom (https://www.notion.so/Strictly-Ballroom-879c4598e3dd4ffe934d50a89e4c4db3?pvs=21),,1998,,https://sunseasky.bandcamp.com/album/athalia,https://www.discogs.com/artist/1107218-Athalia,,"Alternative Rock, Midwest Emo, Post Rock",6,5,,"July 26, 2022 10:01 PM",e7d30dbfddb8434282a5e0eb98ade776
Arnold’s Drive-In,US,Colorado,Thornton,,,,2004,-,,-,-,"Melodic Hardcore, Midwest Emo",8,7,"Twin-vocal, With Screamed voice","July 26, 2022 9:52 PM",05152676b28d4dc385072d5f14f73652
Arm's Length,Canada,Ontario,Quinte West,,,,2019,,https://armslengthontario.bandcamp.com/,,,"Midwest Emo, Post-Hardcore, Twinkle",8,8,,"July 26, 2022 9:48 PM",08a2cea0182a479ba98d6f5296fe544c
Arkitekt,,,,,,,,,,,,"Electronica, Indie Rock, Midwest Emo, Pop Punk",8,7,With Keyboards,"July 26, 2022 9:45 PM",a615602b55e249d4976c51dc29f90589
Aphobic,,,,,,,,,,,,"Instrumental, Midwest Emo, Post Punk",7,6,,"July 26, 2022 9:42 PM",f34e7609c103402c8ec35071673c7bd1
Anathallo,,,,,,,,,,,,"Chamber Rock, Midwest Emo, Twinkle",7,7,Singalong,"July 26, 2022 9:40 PM",497770b4d25e4a559e99cfd0481e5e87
